FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,etab_adr,ouverture_jour,organisme,geometry
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3dbc,Maritime,Lacs,Lacs 4,Fiata,98171115,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,"MULTIPOLYGON (((1.6321550000000002 6.350843333333334, 1.6323752009197616 6.350872023519152, 1.6323470356858383 6.351218959357757, 1.6319774736770916 6.351218959357758, 1.6319825946287139 6.350827066046181, 1.6321550000000002 6.350843333333334)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3dbb,Maritime,Lacs,Lacs 4,Ganavé,Village abatame buckner 70707512,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2019,"MULTIPOLYGON (((1.6474064816095453 6.273889251153656, 1.6474710212718966 6.273859000085568, 1.6474321925319457 6.273754164473949, 1.647366078731488 6.27378180769697, 1.6474064816095453 6.273889251153656)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3dba,Maritime,Lacs,Lacs 4,Ganavé,Abatame-togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,"MULTIPOLYGON (((1.6510856297831387 6.275858241310625, 1.650677641322659 6.274864795053019, 1.6513895674953083 6.2744919119962015, 1.6518757828763524 6.2755576328661835, 1.6518757828763524 6.2755576328661835, 1.6518757828763524 6.2755576328661835, 1.6510856297831387 6.275858241310625)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3db9,Maritime,Lacs,Lacs 4,Ganavé,Abatame-togo,"{Mardi,Lundi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,"MULTIPOLYGON (((1.6408373071560265 6.272260156275772, 1.6411519624969773 6.2722416590182375, 1.6410995199401517 6.271893574140398, 1.6407882479899638 6.271923842399871, 1.6408373071560265 6.272260156275772)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3db8,Maritime,Zio,Zio 1,Abobo,Dekpo,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",WAGES,"MULTIPOLYGON (((1.3810659145006736 6.271731818950463, 1.38154639163167 6.271749590167389, 1.3815665046278511 6.271474136236937, 1.3813363225604436 6.271427486766563, 1.3810435667271392 6.271356401851301, 1.38099887118007 6.271731818950463, 1.3810659145006736 6.271731818950463)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3db7,Maritime,Yoto,Yoto 3,Tométy-Kondji,Tomety-kondji,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Etoile verte(Togo); Happy Togo (Suisse),"MULTIPOLYGON (((1.5249082206617972 6.809878917217579, 1.5250713132782314 6.811053460708572, 1.5256899404440176 6.8107109633790435, 1.5257574270439211 6.810357297401724, 1.5256486986329652 6.810290286976642, 1.5255230985720325 6.809659271681424, 1.5249082206617972 6.809878917217579)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3db6,Maritime,Zio,Zio 2,Kovié,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,"MULTIPOLYGON (((1.1063666666666667 6.355915, 1.1060766666666666 6.355861666666668, 1.1055383333333333 6.356815, 1.10873 6.357028333333333, 1.10913 6.356191666666666, 1.1063583333333333 6.355915, 1.1063583333333333 6.355913333333333, 1.1063666666666667 6.355915)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3db5,Maritime,Zio,Zio 2,Kovié,Kovié,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Nsp,"MULTIPOLYGON (((1.1164319138500889 6.3446032071151235, 1.1162552295236907 6.344451618890151, 1.116351877360353 6.344340554221766, 1.1165346021765425 6.344502648594626, 1.1164319138500889 6.3446032071151235)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3db4,Maritime,Zio,Zio 2,Wli,Odjorene2020@gmail.com,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Privé,"MULTIPOLYGON (((1.1129672014200358 6.366300583624888, 1.1135252421658495 6.366910936130394, 1.113247698091212 6.3671574244365825, 1.1126778469592433 6.366576416097027, 1.1129672014200358 6.366300583624888)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3db3,Maritime,Zio,Zio 2,Wli,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Privé,"MULTIPOLYGON (((1.1149295746249788 6.368271942910895, 1.1150371321510335 6.368376461323216, 1.1153394883076093 6.368089035638132, 1.1152283455306862 6.3679821417472535, 1.1149295746249788 6.368271942910895)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3db2,Maritime,Zio,Zio 2,Wli,Néant,"{Mardi,Mercredi,Lundi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,"MULTIPOLYGON (((1.1124185000417284 6.412373277668755, 1.1124498195035597 6.412942215329037, 1.112377158352111 6.412945950147466, 1.1119274108802135 6.413025626267436, 1.111919894209374 6.412378257432213, 1.1124185000417284 6.412373277668755)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3db1,Maritime,Zio,Zio 3,Gamé-Sèva,Boga,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,"MULTIPOLYGON (((1.2141380022808763 6.663076033190837, 1.2146954306999291 6.662702530000516, 1.2142309070173847 6.661766573697799, 1.2135849978968953 6.662205990024764, 1.2141380022808763 6.663076033190837)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3db0,Maritime,Zio,Zio 3,Gamé-Sèva,Game-togo,"{Dimanche,Samedi,Vendredi,Jeudi,Lundi,Mardi,Mercredi}",Privé,"MULTIPOLYGON (((1.1796308035138887 6.71715319414175, 1.1799042086779399 6.716239661218621, 1.1815309459222167 6.716890531243419, 1.1809565144380374 6.7176536519042696, 1.1796308035138887 6.71715319414175)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3daf,Maritime,Yoto,Yoto 3,Tokpli,Koudeka kondji,"{Lundi,Mardi,Mercredi,Jeudi,Dimanche,Samedi,Vendredi}",Nsp,"MULTIPOLYGON (((1.5993136079466252 6.656817870853202, 1.5991872961531548 6.656798061341683, 1.5990769395335962 6.656842962899979, 1.5990224260227295 6.656911635863548, 1.5989878564792535 6.6570054008559865, 1.5989865268814274 6.657133502295578, 1.5990516771749017 6.657244435473992, 1.5991194866640288 6.657377819381512, 1.5991500674140269 6.657508561988363, 1.5992152177075012 6.657590441178959, 1.5992856863922793 6.657601006234815, 1.599364132664014 6.65760760939461, 1.5994691708922688 6.657567990434509, 1.5994891148596584 6.6573817812792, 1.5994385901422699 6.657173121290747, 1.5993960430118375 6.656977667550227, 1.5993136079466252 6.656817870853202)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3dae,Maritime,Zio,Zio 3,Agbélouvé,Gapekpodi-togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,"MULTIPOLYGON (((1.1775298440427857 6.650603039854269, 1.1775922309896272 6.650261318049179, 1.1772166979115535 6.650236049878102, 1.1771437684057369 6.650499843844888, 1.1775298440427857 6.650603039854269)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3dad,Maritime,Zio,Zio 3,Agbélouvé,Begbe- togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,"MULTIPOLYGON (((1.2243339792617554 6.619692621329329, 1.2241256134056206 6.619082713211908, 1.2246656385238872 6.618863489025794, 1.2248887995887419 6.61953463315435, 1.2243339792617554 6.619692621329329)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3dac,Maritime,Zio,Zio 3,Agbélouvé,Begbe_togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Dimanche,Samedi}",Privé,"MULTIPOLYGON (((1.2063146526207396 6.609695677278952, 1.205853650544302 6.6097208848710425, 1.2058691582594114 6.610056985976115, 1.2063357995049795 6.610033178822023, 1.2063146526207396 6.609695677278952)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3dab,Maritime,Zio,Zio 3,Agbélouvé,Atiho,"{Lundi,Mardi,Jeudi,Vendredi,Mercredi,Samedi,Dimanche}",Ferme GABIAM,"MULTIPOLYGON (((1.1413272912648678 6.672948873471099, 1.14176667916938 6.670808375151724, 1.1403313453479735 6.6706130282373985, 1.1399589117908155 6.672691182906585, 1.1413272912648678 6.672948873471099)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3daa,Maritime,Zio,Zio 4,Gapé-Centre,Didokpo_togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,"MULTIPOLYGON (((1.2371319431559078 6.595394647615071, 1.2385427549196386 6.5949427059553765, 1.2383956996217909 6.5930481985537615, 1.236203656588241 6.5938744785759456, 1.2366402270037278 6.595572685125417, 1.2371319431559078 6.595394647615071)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3da9,Maritime,Zio,Zio 4,Gapé-Centre,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,"MULTIPOLYGON (((1.193187516471146 6.573160377213328, 1.1933249456720747 6.573983797821655, 1.1923758252531609 6.574090458422451, 1.192242690714761 6.573348100166318, 1.193187516471146 6.573160377213328)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3da8,Plateaux,Agou,Agou 1,Agou-Nyogbo-Agbétiko,Nsp,"{Lundi,Jeudi,Dimanche}",Nsp,"MULTIPOLYGON (((0.768872985398869 6.989193841035008, 0.7691184755378897 6.9897912151937165, 0.7692055849420584 6.989956278971343, 0.7683186528268863 6.9903885885888135, 0.7679227009897559 6.9895711300661905, 0.7679227009897559 6.98942964671519, 0.7688413092518983 6.98906807795693, 0.768872985398869 6.989193841035008)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3da7,Plateaux,Agou,Agou 1,Agou-Akplolo,Néant,"{Samedi,Mercredi,Lundi}",Nsp,"MULTIPOLYGON (((0.7827630152103858 6.8982046358225455, 0.7839569161771498 6.899346948742437, 0.7832388453058353 6.899999697745132, 0.7820968530767567 6.898865975217282, 0.7827630152103858 6.8982046358225455)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3da6,Plateaux,Agou,Agou 1,Agou-Atigbé,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,"MULTIPOLYGON (((0.75738251833096 6.774008651882503, 0.757970527590356 6.772743985166263, 0.759107531276771 6.773499464806846, 0.758470541862883 6.774766672236557, 0.75738251833096 6.774008651882503)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3da5,Plateaux,Agou,Agou 1,Gadja,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,"MULTIPOLYGON (((0.8601166301480806 6.7774835573915535, 0.860002827287579 6.777359249013493, 0.8600255878596794 6.777093681007531, 0.8601735315783312 6.777014575615777, 0.8603499260121088 6.777133233698541, 0.8603556161551337 6.777393151301594, 0.8602190527225317 6.777455305490263, 0.8601166301480806 6.7774835573915535)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3da4,Plateaux,Agou,Agou 1,Gadja,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,"MULTIPOLYGON (((0.7861356614980967 6.7716763711381125, 0.7862146241654303 6.771613208989237, 0.7863141740307296 6.771427855059359, 0.7865848252270118 6.77116527020349, 0.7865226065611998 6.771004629985925, 0.786270620964661 6.770840900478379, 0.7861586273661996 6.77081309734894, 0.7858599777703018 6.770843989714886, 0.7858350903039769 6.771007719221381, 0.7857075420390623 6.771390784264841, 0.7859999697683786 6.7716502797666696, 0.7861356614980967 6.7716763711381125)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3da3,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),Winiga/ 97058447,"{Dimanche,Samedi,Jeudi,Vendredi,Mercredi,Mardi,Lundi}",ICAT Agou,"MULTIPOLYGON (((0.7738688896297039 6.5710487255855625, 0.7745789092630089 6.570949975831987, 0.7743872039620167 6.570036539682067, 0.773673634230545 6.570163503880493, 0.7738688896297039 6.5710487255855625)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3da2,Plateaux,Amou,Amou 2,Amou-Oblo,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,"MULTIPOLYGON (((0.8653754778090335 7.395250935158012, 0.8660162853256975 7.39509126749757, 0.865800536061293 7.394158807207184, 0.8651661688211787 7.394276961531026, 0.8653754778090335 7.395250935158012)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3da1,Plateaux,Amou,Amou 2,Amou-Oblo,Amou oblo uvetsebe,"{Dimanche,Samedi,Jeudi,Mercredi,Vendredi,Mardi,Lundi}",Néant,"MULTIPOLYGON (((0.844112544678979 7.363322949103896, 0.8444226481526613 7.363254273738846, 0.844386519592621 7.362922840305814, 0.844079426832275 7.362955685071499, 0.844112544678979 7.363322949103896)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3da0,Plateaux,Amou,Amou 3,Otadi,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,"MULTIPOLYGON (((0.9926502141554895 7.677263068510042, 0.9926502141554895 7.677263068510042, 0.992823977853258 7.677369041500353, 0.9928196211473991 7.677384923245128, 0.9927046624635221 7.677557965091202, 0.9925333089535925 7.6774805799265105, 0.9926502141554895 7.677263068510042)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d9f,Plateaux,Amou,Amou 3,Otadi,Okama/otadi,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,"MULTIPOLYGON (((1.08609 7.639284999999999, 1.0867677673886942 7.639371627606509, 1.0867870333771417 7.6391566264057955, 1.0860820523137336 7.63913529380424, 1.0861833333333335 7.63913, 1.0862540795755453 7.638970007801944, 1.085848047303349 7.638841150542468, 1.0858081530357608 7.638929483881419, 1.0857475064106308 7.639132675465007, 1.08609 7.639284999999999)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d9e,Plateaux,Amou,Amou 3,Hihéatro,Degbebe,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",CVD,"MULTIPOLYGON (((1.0792931539211792 7.6290910065937085, 1.0794766609832722 7.629030379020893, 1.0794504456886875 7.628852826793931, 1.0795072454936212 7.628740232660599, 1.0801495202109475 7.628411111177862, 1.079891736480864 7.6279997089683675, 1.078996047249219 7.628389458439858, 1.0791009084275576 7.629073684430923, 1.0792931539211792 7.6290910065937085)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d9d,Plateaux,Amou,Amou 3,Avédjè,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,"MULTIPOLYGON (((1.1351014420973986 7.497481611677115, 1.134846656034037 7.49645969712619, 1.1360395180579588 7.496333392914026, 1.136156385555602 7.497346270001462, 1.1351014420973986 7.497481611677115)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d9c,Plateaux,Amou,Amou 3,Avédjè,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",ONG ODIAE,"MULTIPOLYGON (((1.1320287459695595 7.497689898386321, 1.1318753624149422 7.497036882218843, 1.133526491267587 7.496518046757396, 1.133643784574059 7.497278408860682, 1.1320287459695595 7.497689898386321)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d9b,Plateaux,Anié,Anié 1,Anié,Néant,"{Dimanche,Samedi,Jeudi,Mercredi,Vendredi,Mardi,Lundi}",Nsp,"MULTIPOLYGON (((1.146936333210956 7.724349147051521, 1.146853913994285 7.724426929290729, 1.1468021076295207 7.724373259547207, 1.1468845268461914 7.724292366007852, 1.146936333210956 7.724349147051521)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d9a,Plateaux,Danyi,Danyi 1,Danyi-Atigba,98457641/70014858,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Personnel,"MULTIPOLYGON (((0.6797477042347931 7.168312683185244, 0.6797021069368748 7.168378282490273, 0.6795060385558255 7.168193925798663, 0.6795938133543185 7.16811475419041, 0.6797477042347931 7.168312683185244)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d99,Plateaux,Danyi,Danyi 1,Danyi-Atigba,90090937,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",MINISTÈRE DE L'AGRICULTURE,"MULTIPOLYGON (((0.7074941919061748 7.21785976507096, 0.7083971643219827 7.21720991777709, 0.7079900615040082 7.216833370319887, 0.7072707444948052 7.217498401504061, 0.7074941919061748 7.21785976507096)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d98,Plateaux,Danyi,Danyi 2,Danyi-Elavagnon,91219731,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Personnel,"MULTIPOLYGON (((0.717312398447553 7.306849154547518, 0.7173662915473275 7.307258979454605, 0.7177412976999247 7.307165432498048, 0.7177031234209179 7.306809062960335, 0.717312398447553 7.306849154547518)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d97,Plateaux,Danyi,Danyi 2,Ahlon,99939536,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Personnel,"MULTIPOLYGON (((0.662012127585306 7.275917244965557, 0.6620167595516822 7.2758130991299215, 0.6618639046612691 7.275837604034601, 0.6618700806164373 7.275920308078002, 0.662012127585306 7.275917244965557)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d96,Plateaux,Danyi,Danyi 2,Ahlon,99407104,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",AHLON SASSANOU,"MULTIPOLYGON (((0.6591026805040807 7.276888976276389, 0.6596569977887944 7.276797724133497, 0.6596145394435823 7.276624578990851, 0.65903427539235 7.276697112774956, 0.6591026805040807 7.276888976276389)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d95,Plateaux,Est-Mono,Est-Mono 3,Kpéssi,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,"MULTIPOLYGON (((1.2746083333333333 8.071035, 1.2749766666666666 8.071451666666666, 1.2762183333333332 8.071323333333334, 1.2804683333333333 8.069848333333335, 1.2801566666666666 8.06918, 1.2776483333333335 8.068283333333333, 1.2770866666666667 8.06759, 1.2760566666666666 8.068286666666667, 1.2742783333333332 8.070365, 1.2746083333333333 8.071035)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d94,Plateaux,Kloto,Kloto 3,Kouma,91838040,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Régional,"MULTIPOLYGON (((0.5751453012599159 6.9630945062375105, 0.5752358258827206 6.963051531170862, 0.5751689163789085 6.9628874445165305, 0.5750665841966078 6.96292455936003, 0.5751453012599159 6.9630945062375105)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d93,Plateaux,Kloto,Kloto 3,Kouma,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Personnel,"MULTIPOLYGON (((0.5791350470999951 6.968756628740723, 0.5782849937200009 6.96854568529923, 0.5778849686000036 6.967590234404985, 0.5785975133449989 6.965989539582295, 0.579597576144992 6.966647190054515, 0.5791350470999951 6.968756628740723)))"
_mview_general_zones_pisiculture.fid-7b1c8a4a_1943cbfe119_-3d92,Plateaux,Kloto,Kloto 3,Kouma,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Personnel,"MULTIPOLYGON (((0.5779002232629606 6.969806159147668, 0.5775993770420532 6.9700513249115, 0.5773133874246473 6.969701088066768, 0.5774322402526603 6.969583113491718, 0.5775399506280469 6.969710304829192, 0.5777200869455037 6.969560993255589, 0.5779002232629606 6.969806159147668)))"
