FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,geometry
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f87,Centrale,Blitta,Blitta 1,Blitta,Ditcheyidadi,Ditcheyidadi,Tondja -ditcheyidadi,"{Lundi,Mardi,jeudi,Mercredi,Vendredi,Samedi,Dimanche}",1988,{Construit et Utilise},{Elevage traditionnel},{WCs},"POLYGON ((0.9571714041199594 8.280262975619335, 0.9572670066214604 8.280233866113898, 0.9572456799095873 8.280187290900724, 0.9571537544273753 8.28022222231112, 0.9571714041199594 8.280262975619335))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f86,Centrale,Blitta,Blitta 1,Blitta,Tondja,Ferme Panouzi,"Blitta gare,tondja","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Dimanche,Samedi}",2012,{Construit et Utilise},{Elevage traditionnel},"{Douches,WCs,Latrines seches}","POLYGON ((0.9585512997277702 8.279601520611893, 0.9585906537242934 8.279445745322898, 0.958484397933681 8.279313336278792, 0.9583269819475885 8.279278286818489, 0.9581105349667114 8.279418484640985, 0.9580947933681024 8.279558682413562, 0.9582167907573239 8.279648253186574, 0.9585512997277702 8.279601520611893))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f85,Centrale,Blitta,Blitta 1,Blitta-Village,Tomegbe,Sowougan,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,{Construit et Utilise},"{Elevage traditionnel,autre}",{autre},"POLYGON ((1.0109766651678926 8.368533488525834, 1.010995 8.368776666666667, 1.0104666666666666 8.368811666666666, 1.0104166666666667 8.368821666666665, 1.009245 8.368691666666667, 1.009395 8.368314999999999, 1.0094931227542745 8.367664383100847, 1.010850547796623 8.367839398386165, 1.0109766651678926 8.368533488525834))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f84,Centrale,Blitta,Blitta 1,Blitta-Village,Yomaboua,Anah,Yomaboua,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2008,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.9910195178967319 8.388927454962944, 0.9909016994527831 8.38872474560423, 0.99113221379964 8.388603119938237, 0.9912534472709497 8.388800761626142, 0.9910195178967319 8.388927454962944))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f83,Centrale,Sotouboua,Sotouboua 2,Kériadé,N'djavezi 3,Élevage Patchassi,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2016,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.9430528627664554 8.636944297879065, 0.9430452534218311 8.636819415182027, 0.9427819700978324 8.636858535067473, 0.9428032762627803 8.636989436193124, 0.9430528627664554 8.636944297879065))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f82,Centrale,Sotouboua,Sotouboua 3,Kazaboua,Kaza-pouwedou,Ferme Louis,Kazaboua/kaza_pouwedou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Construit et Utilise},{Elevage traditionnel},{Douches},"POLYGON ((1.1537924389074137 8.428870874626242, 1.1540657449562808 8.428881873848763, 1.154052016461777 8.42906294323464, 1.1537866697126793 8.429057930987662, 1.1537924389074137 8.428870874626242))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f81,Centrale,Blitta,Blitta 2,Agbandi,Mono,Ferme Waguegna,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.2187033333333335 8.247421666666666, 1.2184866666666667 8.247958333333335, 1.21825 8.24789, 1.2184083333333333 8.247358333333333, 1.2187033333333335 8.247421666666666))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f80,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Djove,Kudahe,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2021,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.2275184427992634 6.353469511899234, 1.2276705014661538 6.353608477158882, 1.2278446288383573 6.3533688981627865, 1.2276965624322307 6.3532462672912695, 1.2275184427992634 6.353469511899234))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7f,Centrale,Blitta,Blitta 1,Yaloumbè,Zongo,Ferme Komou,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2000,{En construction},{elevage industriel},"{Douches,WCs}","POLYGON ((1.0708090245074968 8.312067711821014, 1.070751049976029 8.31122908150905, 1.0713473594425553 8.311272788670578, 1.0713445987505807 8.312089565355656, 1.0708090245074968 8.312067711821014))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7e,Centrale,Sotouboua,Sotouboua 1,Tabindè,Katada,Mille Et Une Merveille,Tabende/katada,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Construit et Utilise},{Elevage traditionnel},"{Latrines a eau,Douches}","POLYGON ((1.069910155887927 8.512571494812875, 1.0711523882988248 8.511865027834215, 1.0722759293785908 8.515073612545232, 1.0715094827505334 8.515538747425332, 1.069910155887927 8.512571494812875))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7d,Plateaux,Agou,Agou 2,Agotimé-Nord,Kotokope,Dorikko,Dorikko-kotokope,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,{En construction},{elevage industriel},{WCs},"POLYGON ((0.7361502184882118 6.72244283151523, 0.7370747971541647 6.7219032574217925, 0.7359643495811384 6.719825418258172, 0.7350636002622458 6.720355528410148, 0.7361502184882118 6.72244283151523))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7c,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Djove,Abalo,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2020,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.2273611055807283 6.353718459632416, 1.227516333694093 6.353514014329561, 1.2272765504295458 6.35331458601109, 1.2270859858350895 6.353586761747247, 1.2273282931340002 6.353761104654672, 1.2273611055807283 6.353718459632416))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7b,Plateaux,Ogou,Ogou 1,Houdou,Foukotelogodohoe,Ferme Amegan,91638305,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,{Ferme},{Elevage traditionnel},{autre},"POLYGON ((1.154605600278641 7.613178048323395, 1.1546123419801377 7.612993172035124, 1.154473013482537 7.613010991439875, 1.1544595300795433 7.613164683775107, 1.154605600278641 7.613178048323395))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f7a,Maritime,Avé,Avé 2,Aképé,Kpekome,La Sagesse,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2007,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.0664805020269874 6.2479569869068, 1.0674524210426188 6.247359732656549, 1.0670459821815368 6.24670977872746, 1.0662151462157325 6.247318377251369, 1.0664805020269874 6.2479569869068))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f79,Plateaux,Kloto,Kloto 1,Tové,Kpeda,Klu,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.7205932657767548 6.907322318390711, 0.7206095028330816 6.906936531868271, 0.7212330057960342 6.906994561058885, 0.7212135213284421 6.907385720602455, 0.7205932657767548 6.907322318390711))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f78,Plateaux,Kloto,Kloto 1,Tové,Agou Nyogbo,Amekulafe,Agou nyogbo / agou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2008,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.713275 6.8741916666666665, 0.7128466666666667 6.874275, 0.7127666666666667 6.873944999999999, 0.7132066327046703 6.873856291456939, 0.713275 6.8741916666666665))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f77,Plateaux,Agou,Agou 1,Assahoun-Fiagbé,Agbave,Ferme D'élevage De Agbave,Nsp,Nsp,Nsp,"{Inacheve,En construction}",{Elevage traditionnel},{autre},"POLYGON ((0.7618954690542772 6.761248852512074, 0.7620547200249157 6.761744022694615, 0.7621956962940054 6.762228822329414, 0.7615430283815526 6.762576218560014, 0.7610452604172816 6.761524835233094, 0.7618954690542772 6.761248852512074))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f76,Plateaux,Est-Mono,Est-Mono 3,Nyamassila,Andrime-cope,Ferme Koumbeou,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Dimanche,Samedi}",erne,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.1942986465834464 7.952504459949191, 1.194498182509205 7.952461972290264, 1.1944752358777424 7.952268307556623, 1.1942886697871584 7.952274236070232, 1.1942986465834464 7.952504459949191))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f75,Maritime,Golfe,Golfe 3,Bè-Ouest,Gazepe,Ferme D'élevage Gazepe,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2020,{autre},{Elevage traditionnel},{autre},"POLYGON ((1.2104666666666666 6.154676666666668, 1.2105405452697224 6.154704704521213, 1.2106233956246253 6.154530598330021, 1.210538662307111 6.154502516680936, 1.2104666666666666 6.154676666666668))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f74,Plateaux,Agou,Agou 1,Agou-Nyogbo-Agbétiko,Lavie Alloh,Mereda Yaokouma,Lavie alloh/kpalime,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",1992,{Ferme},{Elevage traditionnel},{Douches},"POLYGON ((0.7435252797775176 6.989012502014925, 0.7439655312408926 6.988966504099331, 0.7439655312408926 6.988966504099331, 0.7438981243182706 6.988316260353649, 0.7435000021815344 6.988322532805678, 0.7435252797775176 6.989012502014925))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f73,Plateaux,Kloto,Kloto 3,Agomé-Yoh,Avloto,Ferme Awadi,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,{Construit et Utilise},{Elevage traditionnel},"{Latrines seches,Douches}","POLYGON ((0.6073954941122207 6.943965179421158, 0.6073971706611319 6.943857003080905, 0.6072127502809126 6.943861995835618, 0.6072127502809126 6.943955193913867, 0.6073954941122207 6.943965179421158))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f72,Maritime,Golfe,Golfe 3,Bè-Ouest,Massohoin,Awoudji,Amoutieve/massohoin,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2012,{Construit et Utilise},{elevage industriel},{autre},"POLYGON ((1.2142693475383934 6.203956198647801, 1.2142751860124823 6.203778200664283, 1.2141263049232118 6.203768526859107, 1.2141146279750339 6.203950394366677, 1.2142693475383934 6.203956198647801))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f71,Plateaux,Amou,Amou 1,Imlè-Adiva,Soto,Ferme Scoops Israël,Soto,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Ferme},{Elevage traditionnel},{autre},"POLYGON ((0.9605575181225632 7.46020430258645, 0.9604474965175025 7.459698011399579, 0.9609806781420271 7.459555354661031, 0.961099162947477 7.460061646012964, 0.9605575181225632 7.46020430258645))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f70,Plateaux,Amou,Amou 1,Amlamé (Ouma),Adamkope,Ferme Teyo,Adamkope,"{Lundi,Mardi,Mercredi,jeudi,Samedi,Vendredi,Dimanche}",2000,{Ferme},{Elevage traditionnel},{autre},"POLYGON ((0.92 7.401685, 0.9197083333333332 7.401218333333333, 0.9201666666666667 7.400981666666667, 0.9204899999999999 7.401468333333335, 0.92 7.401685))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f6f,Plateaux,Kloto,Kloto 1,Gbalabé,Tsadome,Elevage Hetcheli,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2013,{Construit et Utilise},{Elevage traditionnel},"{WCs,Latrines seches,Douches}","POLYGON ((0.6101983333333333 6.87844, 0.6097116666666668 6.877723333333334, 0.6110716666666666 6.877674999999999, 0.6107916666666667 6.878543333333333, 0.6101983333333333 6.87844))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f6e,Plateaux,Akébou,Akébou 1,Yalla,Yalla,Ferme Petite Sœur,91356488,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2020,{Construit et Utilise},{Elevage traditionnel},{Douches},"POLYGON ((0.672489191838366 7.788604380231434, 0.6723858669171963 7.787794607565961, 0.6717635954818348 7.787485191176774, 0.6714367608381459 7.788370817633902, 0.672489191838366 7.788604380231434))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f6d,Plateaux,Akébou,Akébou 1,Djon,Tessani,Tcheri,Tessani,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2015,"{En construction,Construit et Utilise}",{Elevage traditionnel},{Douches},"POLYGON ((0.6711142315121031 7.71346614818682, 0.6706516126125351 7.713553991622307, 0.6705989793245605 7.713345363433244, 0.6710699087432825 7.713254774845429, 0.6711142315121031 7.71346614818682))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f6c,Maritime,Golfe,Golfe 1,Bè-Est,Sawouleto,Ferme D'élevage De Sawouleto,Sawouleto,Nsp,Nsp,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.284855196502933 6.179193970981219, 1.2851708806549371 6.179232828606748, 1.2851348024661364 6.179450032717433, 1.2848181161422207 6.179371321146337, 1.284855196502933 6.179193970981219))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f6b,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Akoin,Ferme Akoin,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.2001547560056525 6.288729396708358, 1.2004507354709215 6.288723309844559, 1.2004262406186235 6.288303316070179, 1.200103725063365 6.288325634588464, 1.2001547560056525 6.288729396708358))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f6a,Plateaux,Haho,Haho 1,Notsé,Kadjè,La Perseverance,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2012,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.1285633784924443 6.973406092063803, 1.1292380090318217 6.973057321082647, 1.1294300913381723 6.973582802595139, 1.1287929402732044 6.973815316350596, 1.1285633784924443 6.973406092063803))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f69,Plateaux,Kloto,Kloto 1,Kpadapé,Kpadape,Elevage Sitsope,Nsp,"{Lundi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2012,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.5899672633285407 6.842321361001461, 0.5899687006325327 6.842433385763099, 0.590125366767666 6.842439807563923, 0.5901066818157699 6.8423013820603185, 0.5899672633285407 6.842321361001461))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f68,Plateaux,Ogou,Ogou 4,Ountivou,Azovou,Bona Eglou,97007670,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2014,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.603405 7.462610000000001, 1.6032083333333333 7.462708333333334, 1.6031366666666664 7.462434999999999, 1.6032983333333335 7.462401666666667, 1.6033933333333332 7.462610000000001, 1.603405 7.462610000000001))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f67,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Dugan,Ferme Adeklui,Hanyigba/ kpalime,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,"{Construit et Utilise,Ferme}",{Elevage traditionnel},{WCs},"POLYGON ((0.6066616666666668 6.917290000000001, 0.6068133333333333 6.9176616666666675, 0.6063666666666666 6.917861666666666, 0.6061716666666667 6.917458333333333, 0.6066616666666668 6.917290000000001))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f66,Plateaux,Amou,Amou 3,Evou,Yao Kope,Ferme Sese,96456067,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2008,{Ferme},{Elevage traditionnel},{autre},"POLYGON ((1.0346997085045124 7.51387838778756, 1.0348086378245451 7.514030736393519, 1.0349584156395906 7.5139728824988135, 1.0348747734831367 7.513762679949863, 1.0346997085045124 7.51387838778756))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f65,Plateaux,Akébou,Akébou 2,Kpalavé,Kabagni,Kpikpitse,90834838,"{Lundi,Mardi,jeudi,Mercredi,Vendredi,Samedi,Dimanche}",2016,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.7728767885803548 7.885251990721505, 0.7730348661316669 7.885260787513424, 0.7730082238477379 7.88548070725064, 0.7728501462964258 7.88547015110592, 0.7728767885803548 7.885251990721505))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f64,Plateaux,Kloto,Kloto 1,Yokélé,Yokele,Soule,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Inacheve},{Elevage traditionnel},{autre},"POLYGON ((0.6629320860509289 6.9399033594267765, 0.6629129248194537 6.939855807310827, 0.6630096019418973 6.939825546870904, 0.6630287631733724 6.939880015661366, 0.6629320860509289 6.9399033594267765))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f63,Plateaux,Amou,Amou 3,Evou,Yao Kope,Ferme D'élevage Oune,98138217,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2016,{Ferme},{Elevage traditionnel},{autre},"POLYGON ((1.0351912935050838 7.514688088725398, 1.03512071303151 7.514538976833054, 1.0352467495914628 7.5144856630714125, 1.0353139690901045 7.514638940118494, 1.0351912935050838 7.514688088725398))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f62,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Aloko,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.8510535286881745 7.928123692520572, 0.8510224629127479 7.9278250536225805, 0.8513349480655695 7.927854012555511, 0.8513440850583422 7.928159891160143, 0.8510535286881745 7.928123692520572))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f61,Plateaux,Agou,Agou 2,Agotimé-Nord,Nyamessi,Ferme Aliko,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2014,{Construit et Utilise},{elevage industriel},"{Douches,WCs}","POLYGON ((0.6939306289069498 6.7610425650303245, 0.6937080201316639 6.7610082032613095, 0.6937829919989882 6.760647404539144, 0.6939940666408395 6.760669167009386, 0.6939306289069498 6.7610425650303245))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f60,Maritime,Zio,Zio 2,Bolou,Woulame,Ferme Arouna,Nsp,Nsp,Nsp,{autre},{autre},{autre},"POLYGON ((1.150338462830309 6.433090914457305, 1.150335074767694 6.432590954916956, 1.1508788588173764 6.432594321649511, 1.1508788588173768 6.43310101464497, 1.150338462830309 6.433090914457305))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f5f,Plateaux,Haho,Haho 2,Djemegni,Kodonou,Elevage Limdeyou,91897390,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2002,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.2658041279528434 6.937054053053735, 1.2655319030290078 6.936773153829026, 1.265722938063278 6.936536107939419, 1.2660453096836097 6.936825303908725, 1.2658041279528434 6.937054053053735))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f5e,Plateaux,Kloto,Kloto 1,Yokélé,Fada Kope,Ferme Fada Kope,Yokele/fada kope,"{Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2019,{Construit et Utilise},"{elevage industriel,Elevage traditionnel}",{autre},"POLYGON ((0.728015153068275 6.9587117042166176, 0.7279101077403033 6.95841974383021, 0.7285430058413328 6.958117356095728, 0.7286821909008957 6.958732558522984, 0.7282331221238162 6.958823796102446, 0.728015153068275 6.9587117042166176))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f5d,Plateaux,Amou,Amou 3,Evou,Odjolo,Ferme Zigan,98478954,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2015,{Ferme},{Elevage traditionnel},{Douches},"POLYGON ((1.021809537891642 7.541292646239776, 1.0216715813636694 7.541342141518424, 1.02163216521282 7.54118453811147, 1.0216650120051944 7.541168908018397, 1.0216453039297697 7.541102480116535, 1.0217267639748584 7.5410673123996625, 1.0217372749484182 7.54113113529114, 1.0217530414087581 7.541153277924758, 1.021809537891642 7.541292646239776))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f5c,Plateaux,Kloto,Kloto 1,Yokélé,Sandalkope,Katanbra,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2020,{En construction},{Elevage traditionnel},{autre},"POLYGON ((0.7114225736905125 6.95045225596365, 0.7115053705534342 6.9504449734468885, 0.7115043224918783 6.950332614602547, 0.7115043224918783 6.950273314090539, 0.7113900837822772 6.95028891948916, 0.7113775070436054 6.950454856862469, 0.7114225736905125 6.95045225596365))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f5b,Plateaux,Kloto,Kloto 1,Yokélé,Father Kope,Lanwi,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2020,{En construction},{Elevage traditionnel},{autre},"POLYGON ((0.7332333297531969 6.954743229535047, 0.733222418709486 6.9546698210354645, 0.733330922977499 6.954671024453583, 0.7333351661611646 6.954739017572267, 0.7332333297531969 6.954743229535047))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f5a,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adétikopé,Reptiland,Adétikopé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1997,{Construit et Utilise},{elevage d'animaux exotique},Néant,"POLYGON ((1.23059969836521 6.31503443709804, 1.23072119083987 6.3149549153263, 1.23057302928541 6.31472518569489, 1.23044857357966 6.31481648850933, 1.23059969836521 6.31503443709804))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f59,Plateaux,Amou,Amou 1,Imlè-Adiva,Idao,Ferme Atsudete,Idao,"{Mardi,Lundi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2017,{Ferme},{Elevage traditionnel},{autre},"POLYGON ((1.0332055467703318 7.475882074466095, 1.0331469284187065 7.475616743589864, 1.0335801944959344 7.475533353852606, 1.0336413614715432 7.4758214274228845, 1.0332055467703318 7.475882074466095))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f58,Plateaux,Haho,Haho 2,Asrama,Asrama,ZAPB,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,"POLYGON ((1.5359866666666666 7.079298333333332, 1.5320533333333335 7.07168, 1.5274883333333336 7.062601666666666, 1.5308066666666666 7.054253333333333, 1.5340066666666667 7.0450316666666675, 1.5618726483232688 7.064301284570509, 1.5574237426478796 7.06877945866174, 1.552308161327929 7.074464703825783, 1.5444581935563346 7.078703002825831, 1.5392058929138013 7.079078980962928, 1.5359866666666666 7.079298333333332))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f57,Plateaux,Amou,Amou 1,Imlè-Adiva,Idao,Ferme D'élevage Taho,92805903,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2017,{Ferme},{Elevage traditionnel},{autre},"POLYGON ((1.0228945444738602 7.478271929087476, 1.0227743416027617 7.4780600526623235, 1.0229895195818883 7.477930572574103, 1.023114174411175 7.478155691339191, 1.0228945444738602 7.478271929087476))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f56,Plateaux,Amou,Amou 2,Kpatégan,Moba-kopé,Ferme D'élevage Kombate,Sc/96 13 83 68,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2014,{Ferme},{Elevage traditionnel},{autre},"POLYGON ((0.9608898363981772 7.372753335632336, 0.9612359219249492 7.37275723590726, 0.9612182243696028 7.373229168919523, 0.9608682060527538 7.373207717429879, 0.9608898363981772 7.372753335632336))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f55,Plateaux,Amou,Amou 3,Hihéatro,Hiheatro,Bon Pasteur,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2009,{Construit et Utilise},{Elevage traditionnel},"{WCs,Douches}","POLYGON ((1.096586524356905 7.535496698517455, 1.0968459669581472 7.535504263282227, 1.0968364286272192 7.535039030002917, 1.0968650436200031 7.535033356423257, 1.096861228287632 7.534885843325986, 1.0965941550216476 7.5348688225807585, 1.096586524356905 7.535496698517455))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f54,Plateaux,Agou,Agou 1,Agou-Nyogbo-Agbétiko,Dahlidome,Mottey,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2015,{En construction},{Elevage traditionnel},{autre},"POLYGON ((0.7280132422283521 6.89067491669265, 0.7279214311087034 6.890432903089755, 0.7282791778852657 6.8904140448817435, 0.7283211260692433 6.890633271503549, 0.7280132422283521 6.89067491669265))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f53,Plateaux,Agou,Agou 1,Gadja,Avetonou,Ps 23,Néant,Nsp,Nsp,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((0.8061361094198031 6.778319916856711, 0.8058244545128435 6.778265397675016, 0.8058535207735965 6.77792224738987, 0.8061732496418761 6.77798959466136, 0.8061361094198031 6.778319916856711))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1f52,Plateaux,Amou,Amou 3,Hihéatro,Deme,Tchalla,Deme; quartier wadego,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Construit et Utilise},{Elevage traditionnel},{Douches},"POLYGON ((1.070343650094469 7.599471237380173, 1.070266458597866 7.599139678729558, 1.070266458597866 7.599139678729558, 1.070266458597866 7.599139678729558, 1.0706052434996225 7.5990844189295705, 1.070691011829181 7.599458485129112, 1.070343650094469 7.599471237380173))"
